state,state_name,from_stage,to_stage,n_years,median_ratio,pre_covid_median,recent_median,median_absolute_deviation,min_ratio,max_ratio
OH,Ohio,Grade 3,Grade 4,14,0.9877048943905621,0.9772954325497175,0.978593885342145,0.012083282797677508,0.9663740043446778,1.001928592621897
OH,Ohio,Grade 4,Grade 5,14,1.0033628981697222,1.0040491808375043,1.0046836073741903,0.0030849517191318676,0.9946947886002653,1.0134797608454706
OH,Ohio,Grade 5,Grade 6,14,1.004451246194042,1.0038372870155519,1.0063333087856248,0.002019964636751803,0.995468442891461,1.0068786829615024
OH,Ohio,Grade 6,Grade 7,14,1.0071947840273543,1.0092498129633407,1.0063177990438363,0.001966103426463972,0.9973370879373145,1.0126019916986253
OH,Ohio,Grade 7,Grade 8,14,0.9985326755833555,0.9980418703198024,1.0000688278615184,0.0016206617453904393,0.9941779934076516,1.0010618792971735
OH,Ohio,Grade 8,Grade 9,14,1.0795190044030343,1.0900756801587654,1.0721221283625821,0.00962243587433087,1.049957941423874,1.1398904559969159
OH,Ohio,Grade 9,Grade 10,14,0.931990928548712,0.9242693911932938,0.9461093030136523,0.01595502176440383,0.8733067530214826,0.9509300111208833
OH,Ohio,Grade 10,Grade 11,14,0.8835607785013544,0.8831354651248111,0.8852473729479077,0.005365654162499012,0.8599941460967009,1.0127676216183057
OH,Ohio,Grade 11,Grade 12,14,0.9926916274900827,0.9781612976693574,1.0009365129366492,0.017673956338069785,0.8528382023761695,1.1293775166907805
OK,Oklahoma,Grade 1,Grade 2,14,0.95520588497954,0.9546780559421892,0.9712364300124892,0.002054929078404155,0.9530852246244308,0.9829456161114453
OK,Oklahoma,Grade 2,Grade 3,14,1.0033731316347012,1.0019292356368408,1.005572080111045,0.006546492637067081,0.9864784840110541,1.0151485763053767
OK,Oklahoma,Grade 3,Grade 4,14,0.9871399456879872,0.9815342550159818,0.9815342550159818,0.01036707457369801,0.952016008004002,1.0081556225944035
OK,Oklahoma,Grade 4,Grade 5,14,1.0002725173913904,1.0000405893574704,1.0042390843577786,0.00290236910150099,0.9935458558116724,1.0082125092602392
OK,Oklahoma,Grade 5,Grade 6,14,1.0028879345785864,1.0026890191382534,1.0062845316979627,0.0032668249114308767,0.9930835296800182,1.0100226966878905
OK,Oklahoma,Grade 6,Grade 7,14,1.0045894252042082,1.004548541791014,1.0063803447290733,0.0016676388687997257,0.9963962264150943,1.010485228838206
OK,Oklahoma,Grade 7,Grade 8,14,1.0003764238602217,0.999728425494579,1.0066651518594258,0.003764465211465118,0.9945847264671493,1.0082751046223182
OK,Oklahoma,Grade 8,Grade 9,14,1.0555360673301597,1.0528456173338872,1.058915223678774,0.007026446305255951,1.0386400579698791,1.0819065760038982
