major_4digit,major_name,count_2013,count_2023,gross_change,pct_change,low_base_flag
4011,Physics and Astronomy,0.0,45.0,45.0,,True
3047,Linguistics and Anthropology,0.0,1.0,1.0,,True
4707,Energy Systems Maintenance and Repair Technologies/Technicians,0.0,146.0,146.0,,True
2706,Applied Statistics,0.0,541.0,541.0,,True
3044,Geography and Environmental Studies,0.0,809.0,809.0,,True
5011,Community/Environmental/Socially-Engaged Art,0.0,6.0,6.0,,True
1617,Second Language Learning,0.0,282.0,282.0,,True
2906,Military Technology and Applied Sciences Management,0.0,19.0,19.0,,True
1910,Work and Family Studies,0.0,10.0,10.0,,True
1448,Energy Systems Engineering,0.0,187.0,187.0,,True
1447,Electrical and Computer Engineering,0.0,1988.0,1988.0,,True
1206,Casino Operations and Services,0.0,619.0,619.0,,True
0599,"Area, Ethnic, Cultural, Gender, and Group Studies, Other",0.0,62.0,62.0,,True
