GEO_ID|B28002_E001|B28002_M001|B28002_E002|B28002_M002|B28002_E003|B28002_M003|B28002_E004|B28002_M004|B28002_E005|B28002_M005|B28002_E006|B28002_M006|B28002_E007|B28002_M007|B28002_E008|B28002_M008|B28002_E009|B28002_M009|B28002_E010|B28002_M010|B28002_E011|B28002_M011|B28002_E012|B28002_M012|B28002_E013|B28002_M013
795P200US4802503|46597|2893|44419|2854|0|242|44419|2854|43721|2894|7113|1395|36137|2925|440|257|2855|1251|202|267|56|91|1128|434|1050|741
795P200US4802505|48094|3567|45652|3393|0|242|45652|3393|44554|3301|3508|1112|40897|3173|999|574|4674|1635|0|242|0|242|1121|718|1321|804
795P200US4802506|50369|3434|48099|3278|253|324|47846|3294|46190|3260|5923|1592|39728|2961|1367|703|3978|1445|289|302|0|242|1262|825|1008|652
795P200US4802507|47040|3374|45322|3192|0|242|45322|3192|43870|3170|5466|1339|38919|3368|1319|589|2694|825|0|242|0|242|820|489|898|550
795P200US4802508|39930|3074|30955|3011|174|218|30781|3041|29979|3077|3749|1047|25484|2833|739|569|2417|882|37|62|26|44|1314|593|7661|1794
795P200US4802509|52730|3722|49892|3534|38|64|49854|3529|47766|3291|4572|1244|44059|3530|1701|600|2990|812|136|135|0|242|588|296|2250|1142
795P200US4802510|47299|2879|46006|2910|0|242|46006|2910|43717|2889|4406|1022|40808|2894|2240|891|2733|822|0|242|0|242|785|445|508|320
795P200US4802511|46981|4021|45552|3783|0|242|45552|3783|44474|3761|2740|825|42510|3760|1078|763|1864|706|0|242|0|242|946|701|483|450
795P200US4802512|45216|3241|39904|3269|34|59|39870|3272|38156|3137|5418|1690|32637|3131|1560|947|4183|1311|0|242|154|255|868|742|4444|1356
795P200US4802513|47248|3743|44196|3575|25|41|44171|3575|43170|3538|4174|1328|39580|3681|933|469|4012|1622|68|110|0|242|871|555|2181|897
795P200US4802514|69317|4062|65843|4075|69|117|65774|4076|64445|4089|8386|1654|53985|3943|1199|540|5848|1535|27|49|19|36|1321|825|2153|1009
795P200US4802515|44479|3483|42978|3392|0|242|42978|3392|41712|3445|4692|1028|36470|3193|1162|576|4146|1173|0|242|57|93|541|326|960|582
795P200US4802516|75413|4468|72616|4532|123|164|72493|4573|70189|4357|5704|1892|64253|3931|1814|886|7254|2097|355|387|0|242|713|376|2084|970
795P200US4802600|73548|2766|66589|2761|188|296|66401|2761|63363|2646|11784|1290|44111|2496|2493|688|12706|1806|226|165|136|173|1305|482|5654|1252
795P200US4802700|55699|1569|51476|2055|0|242|51476|2055|49634|2039|7553|1457|42500|2405|1320|530|3470|1021|296|328|90|119|646|296|3577|1323
795P200US4802900|48944|1211|44531|1804|0|242|44531|1804|42186|1896|4436|1278|38431|2235|2171|1009|2404|741|57|93|0|242|1573|824|2840|1123
795P200US4803000|69525|1636|64931|2121|341|431|64590|2202|62190|2339|8000|1827|51854|2856|2010|1125|7522|1727|182|232|0|242|1727|1181|2867|1017
795P200US4803100|68318|1005|62405|2190|0|242|62405|2190|59171|2435|13066|2781|44786|3187|2522|1028|7170|2127|712|742|0|242|1668|1019|4245|1458
795P200US4803305|48809|3288|44430|3210|0|242|44430|3210|43413|3205|4982|1333|37987|3298|934|430|10528|2450|83|96|0|242|1095|505|3284|953
795P200US4803306|55594|3595|53913|3528|0|242|53913|3528|52877|3453|6532|1601|45727|3541|994|645|3073|782|0|242|0|242|496|557|1185|514
795P200US4803307|42448|3107|41300|3078|0|242|41300|3078|39840|3042|3947|1427|35872|3102|1193|614|4674|1783|267|312|0|242|158|163|990|444
795P200US4803308|62152|3270|58736|3487|73|117|58663|3461|56268|3436|7211|2048|50229|3579|2195|934|5616|1532|60|102|0|242|1405|791|2011|837
795P200US4803309|37941|2820|33915|2633|133|136|33782|2624|32306|2538|7994|1814|24458|2347|1151|679|4022|1150|223|310|53|88|670|479|3356|1024
