GEO_ID|B15003_E001|B15003_M001|B15003_E002|B15003_M002|B15003_E003|B15003_M003|B15003_E004|B15003_M004|B15003_E005|B15003_M005|B15003_E006|B15003_M006|B15003_E007|B15003_M007|B15003_E008|B15003_M008|B15003_E009|B15003_M009|B15003_E010|B15003_M010|B15003_E011|B15003_M011|B15003_E012|B15003_M012|B15003_E013|B15003_M013|B15003_E014|B15003_M014|B15003_E015|B15003_M015|B15003_E016|B15003_M016|B15003_E017|B15003_M017|B15003_E018|B15003_M018|B15003_E019|B15003_M019|B15003_E020|B15003_M020|B15003_E021|B15003_M021|B15003_E022|B15003_M022|B15003_E023|B15003_M023|B15003_E024|B15003_M024|B15003_E025|B15003_M025
400C200US24580|87034|3653|1318|691|0|208|0|208|0|208|99|169|33|5|0|208|0|208|31|27|392|558|868|586|823|395|557|394|1463|744|1930|939|20631|2384|4366|1303|6734|1570|11192|2255|7597|1613|16276|2213|10236|2052|1494|937|994|646
400C200US24607|53612|2639|247|265|0|213|0|213|0|213|0|213|0|213|0|213|0|213|0|213|0|213|321|252|647|521|353|277|350|261|590|469|13225|2099|2162|757|3873|955|5949|1460|4913|1086|14265|2003|5541|1448|677|426|499|289
400C200US24823|46738|1797|160|155|0|213|0|213|0|213|0|213|28|52|208|208|0|213|21|4|0|213|176|107|215|154|158|193|229|264|930|462|12621|1279|1532|553|3654|1028|5435|1025|4480|1005|10645|1478|4321|932|877|429|1048|545
400C200US24850|78897|2637|595|347|200|302|0|213|73|47|0|213|42|67|0|213|0|213|0|213|101|159|230|208|266|378|328|221|1346|570|900|339|15946|1775|2829|746|5442|1225|9083|1411|10844|1599|19740|1764|7057|1173|2690|745|1185|485
400C200US25228|278889|4042|3079|954|0|226|0|226|0|226|317|381|334|449|89|161|437|382|1077|861|1124|827|1998|825|1574|857|2336|1083|4409|1313|2030|888|31445|3140|6535|1618|7649|1883|26205|3425|18782|3367|80257|5466|54898|4057|14753|1885|19561|2640
400C200US26038|73935|2552|704|400|149|184|0|161|0|161|0|161|0|161|0|161|0|161|0|161|0|161|113|132|428|396|170|176|175|153|1060|560|17390|2324|2480|751|3842|995|10641|1869|9732|1694|17743|2130|6851|1407|1244|646|1213|505
400C200US26405|43608|2782|1209|696|0|225|34|61|13|3|462|390|627|481|81|133|65|71|1274|695|61|88|549|454|3237|1345|840|657|932|639|2236|929|7862|1944|1580|878|3001|1059|7075|1459|3693|1010|5964|1623|2247|764|516|393|50|89
400C200US26750|52828|2668|543|350|0|208|0|208|0|208|0|208|206|340|0|208|31|3|0|208|43|75|446|408|86|85|514|358|513|432|916|557|12395|2132|4019|1406|5103|1229|8577|2308|5653|1475|7935|1443|4791|1324|659|475|398|376
400C200US26794|96292|3581|2488|798|0|213|0|213|0|213|0|213|0|213|0|213|60|125|1569|954|0|213|1927|892|1350|562|1857|873|1478|683|2483|915|32726|3631|6552|1834|5416|1302|10606|1724|5954|1319|14478|2324|5339|1150|1479|809|530|284
400C200US27253|554585|5891|17867|2816|185|168|39|64|777|778|1953|952|3765|1245|1904|814|2511|990|18173|2877|3037|1166|7810|1866|8863|2164|7846|1732|6858|1544|16261|2952|110613|6067|35362|3775|33676|3804|79126|6033|49058|5062|99400|6257|38625|4452|6400|1580|4476|1340
400C200US27766|124594|2813|2048|761|0|192|0|192|77|125|146|184|62|104|0|192|421|362|131|163|308|283|622|519|868|394|1765|785|910|484|3012|790|35413|2845|7508|1432|7998|1590|11057|1627|10886|1472|23322|2580|14356|1990|2188|667|1496|657
400C200US28117|184245|3463|2168|889|0|220|0|220|0|220|0|220|165|242|0|220|0|220|590|652|239|293|100|126|1015|682|960|562|2542|889|3075|870|31348|2587|9960|1773|13993|2213|32526|3113|17123|2192|38562|3003|20778|2588|4630|1335|4471|920
400C200US28333|140022|2919|2385|930|0|211|0|211|0|211|0|211|43|75|0|211|0|211|747|656|86|107|573|364|954|540|1809|829|2310|1055|2101|854|33329|3013|6832|1288|9596|1507|17437|2420|13991|1912|31237|2951|11572|2003|3674|1523|1346|554
400C200US28549|43955|2298|296|459|0|172|0|172|15|4|0|172|31|22|0|172|0|172|38|66|0|172|0|172|217|219|684|474|292|313|1228|703|10482|2047|1394|579|4016|1206|6581|1406|4904|1287|7150|1455|4553|1568|1307|797|767|418
400C200US28657|102692|3275|4030|1198|132|212|0|225|50|84|398|425|257|415|61|101|0|225|1191|727|171|167|1828|965|573|541|1051|783|1452|811|2768|1061|22805|3020|3928|1423|9552|1881|14001|2291|11163|1607|19125|2493|6102|1557|920|589|1134|610
400C200US28981|52211|2939|762|592|0|258|114|204|134|229|114|182|71|119|431|381|633|523|933|623|1003|660|646|395|1847|1018|659|534|854|507|360|308|17864|2665|1515|755|1030|616|5216|1563|5267|1495|8681|2069|3225|1134|608|560|244|234
400C200US29089|147137|3059|1968|928|0|213|87|146|0|213|0|213|0|213|0|213|39|71|596|618|106|137|329|328|680|654|386|309|494|346|2857|1967|21467|2566|5434|1254|11484|2037|22469|2529|18960|2711|39412|3270|13555|2583|3932|1301|2882|831
400C200US29440|202157|2913|3276|1065|64|111|113|184|0|226|0|226|135|136|140|127|433|316|308|205|149|107|943|443|1440|550|2005|532|3502|962|3275|634|44791|3122|8942|1445|16009|1867|32613|2296|26881|2301|35845|2541|15561|1698|3376|792|2356|694
400C200US29494|260330|5853|3449|1401|0|213|0|213|0|213|431|555|1120|670|485|487|643|453|4021|1613|1349|856|2349|1108|4088|1326|2811|902|3887|1774|3167|1042|58099|5307|10417|2263|12194|1879|25196|2725|16566|2259|64080|5472|36146|3442|5869|1626|3963|971
400C200US29872|205232|3483|1964|669|0|187|0|187|142|236|0|187|29|50|61|103|22|39|176|198|0|187|593|464|1814|793|2432|868|3686|855|3602|1053|55752|4125|10156|1740|17749|2803|39680|3080|22588|2695|29363|2997|11769|2035|2533|848|1121|718
400C200US29953|54388|2901|1105|967|0|213|0|213|0|213|0|213|0|213|41|2|0|213|412|442|294|473|850|737|331|278|651|312|836|527|560|385|10712|2038|3054|940|3910|1111|8153|1992|4746|1307|12246|1887|4179|1063|1179|761|1129|546
400C200US30061|61264|3423|1054|556|0|229|0|229|0|229|0|229|64|117|0|229|50|89|104|134|83|150|259|322|945|581|957|466|936|444|1398|657|15285|2198|2729|1202|4123|1127|7621|1675|6686|1596|10693|2074|6572|1386|709|362|996|664
