GEO_ID|B01003_E001|B01003_M001
0500000US06029|922529|-555555555
0500000US06031|154913|-555555555
0500000US06033|67764|-555555555
0500000US06037|9757179|-555555555
0500000US06039|165432|-555555555
0500000US06041|256400|-555555555
0500000US06045|89175|-555555555
0500000US06047|296774|-555555555
0500000US06053|436251|-555555555
0500000US06055|132727|-555555555
0500000US06057|102195|-555555555
0500000US06059|3170435|-555555555
0500000US06061|433822|-555555555
0500000US06065|2529933|-555555555
0500000US06067|1611231|-555555555
0500000US06069|69159|-555555555
0500000US06071|2214281|-555555555
0500000US06073|3298799|-555555555
0500000US06075|827526|-555555555
0500000US06077|816108|-555555555
0500000US06079|281843|-555555555
0500000US06081|742893|-555555555
0500000US06083|444500|-555555555
0500000US06085|1926325|-555555555
0500000US06087|262406|-555555555
0500000US06089|181121|-555555555
0500000US06095|455101|-555555555
0500000US06097|485375|-555555555
0500000US06099|556972|-555555555
0500000US06101|98545|-555555555
0500000US06103|64451|-555555555
0500000US06107|483546|-555555555
0500000US06111|835427|-555555555
0500000US06113|225251|-555555555
0500000US06115|87469|-555555555
0500000US08001|542973|-555555555
0500000US08005|666918|-555555555
0500000US08013|330262|-555555555
0500000US08014|78323|-555555555
0500000US08031|729019|-555555555
0500000US08035|393995|-555555555
0500000US08041|752772|-555555555
0500000US08059|578533|-555555555
0500000US08069|374574|-555555555
0500000US08077|161260|-555555555
0500000US08101|169866|-555555555
0500000US08123|369745|-555555555
0500000US09110|991508|-555555555
0500000US09120|335666|-555555555
0500000US09130|177540|-555555555
0500000US09140|462220|-555555555
0500000US09150|97701|-555555555
0500000US09160|114101|-555555555
0500000US09170|576718|-555555555
0500000US09180|282602|-555555555
0500000US09190|637013|-555555555
0500000US10001|192690|-555555555
0500000US10003|588093|-555555555
0500000US10005|271134|-555555555
0500000US11001|702250|-555555555
0500000US12001|291782|-555555555
0500000US12005|199718|-555555555
0500000US12009|658447|-555555555
0500000US12011|2037472|-555555555
0500000US12015|212122|-555555555
0500000US12017|170174|-555555555
0500000US12019|236760|-555555555
0500000US12021|416233|-555555555
0500000US12023|73977|-555555555
0500000US12031|1055159|-555555555
0500000US12033|331275|-555555555
0500000US12035|136744|-555555555
0500000US12053|218150|-555555555
0500000US12055|109778|-555555555
0500000US12057|1581426|-555555555
0500000US12061|172139|-555555555
