county_fips,state,state_name,county_name,graduates_2026,change_2026_from_2026,pct_change_2026_from_2026,confidence_2026,graduates_2030,change_2030_from_2026,pct_change_2030_from_2026,confidence_2030,graduates_2035,change_2035_from_2026,pct_change_2035_from_2026,confidence_2035,graduates_2041,change_2041_from_2026,pct_change_2041_from_2026,confidence_2041
42057,PA,Pennsylvania,Fulton County,154.8925380449883,0.0,0.0,High,126.69540669087647,-28.197131354111832,-0.1820431875544709,Moderate,140.4855086371292,-14.407029407859113,-0.09301306305455859,Moderate,108.74637639141643,-46.146161653571866,-0.2979237233504999,Low
42059,PA,Pennsylvania,Greene County,347.1011818900722,0.0,0.0,High,322.5737634502221,-24.527418439850123,-0.07066359816549983,Moderate,327.3623442569327,-19.738837633139497,-0.056867676236812215,Moderate,261.70446482169916,-85.39671706837305,-0.2460283096800817,Low
42061,PA,Pennsylvania,Huntingdon County,491.7368881115567,0.0,0.0,High,423.4699275298738,-68.2669605816829,-0.1388282275178747,Moderate,388.7925115318601,-102.94437657969661,-0.20934849320546067,Moderate,366.09502464392654,-125.64186346763017,-0.25550628090997873,Low
42063,PA,Pennsylvania,Indiana County,962.9185927321556,0.0,0.0,High,1148.4484921228661,185.5298993907105,0.19267454257404437,Moderate,1241.908349016013,278.98975628385745,0.2897334815108934,Moderate,1085.2420129444472,122.32342021229158,0.12703402046191137,Low
42065,PA,Pennsylvania,Jefferson County,417.4237084252585,0.0,0.0,High,385.70062044484473,-31.723087980413766,-0.07599733158447064,Moderate,369.1002297783985,-48.323478646859996,-0.11576601345707349,Moderate,320.0973472987773,-97.32636112648117,-0.23315963890419,Low
42067,PA,Pennsylvania,Juniata County,207.80406207924096,0.0,0.0,High,206.4086399228766,-1.3954221563643614,-0.0067150860401961054,Moderate,209.5697454850569,1.7656834058159347,0.00849686665481375,Moderate,209.56861114444874,1.764549065207774,0.008491407952049057,Low
42069,PA,Pennsylvania,Lackawanna County,2653.217981608431,0.0,0.0,High,2345.2873248133046,-307.9306567951262,-0.11605931323006213,High,2467.9122649648443,-185.3057166435865,-0.06984187425537147,Moderate,2255.9823891220194,-397.2355924864114,-0.14971841561453603,Moderate
42071,PA,Pennsylvania,Lancaster County,6091.99052421411,0.0,0.0,High,5611.240297359347,-480.75022685476324,-0.07891513043953424,High,5636.704863355895,-455.2856608582151,-0.07473512295342066,High,5277.99628460618,-813.9942396079305,-0.13361712175560858,Moderate
42073,PA,Pennsylvania,Lawrence County,775.9278828307446,0.0,0.0,High,748.2080745351503,-27.719808295594248,-0.035724722501873085,Moderate,733.641765477367,-42.28611735337756,-0.054497483966047366,Moderate,637.9657967604476,-137.962086070297,-0.17780271739556897,Low
42075,PA,Pennsylvania,Lebanon County,1566.132601650708,0.0,0.0,High,1536.336099251297,-29.79650239941111,-0.019025529746335312,High,1512.6710850461002,-53.46151660460782,-0.03413600901242919,Moderate,1416.1647781599966,-149.96782349071145,-0.09575678542969157,Moderate
